timestamp_iso,elapsed_s,temperature_c,humidity_pct
2026-05-14T11:02:29.847,210.515,24.937500,
2026-05-14T11:02:31.119,211.787,24.929700,
2026-05-14T11:02:32.380,213.049,24.929700,
2026-05-14T11:02:33.641,214.310,24.929700,
2026-05-14T11:02:34.915,215.584,24.937500,
2026-05-14T11:02:36.182,216.851,24.937500,
2026-05-14T11:02:37.442,218.111,24.945300,
2026-05-14T11:02:38.702,219.371,24.945300,
2026-05-14T11:02:39.962,220.630,24.945300,
2026-05-14T11:02:41.226,221.895,24.953100,
2026-05-14T11:02:42.493,223.161,24.960900,
2026-05-14T11:02:43.759,224.428,24.953100,
2026-05-14T11:02:45.028,225.698,24.960900,
2026-05-14T11:02:46.286,226.956,24.960900,
2026-05-14T11:02:47.559,228.229,24.960900,
2026-05-14T11:02:48.829,229.497,24.960900,
2026-05-14T11:02:50.094,230.762,24.968800,
2026-05-14T11:02:51.359,232.027,24.968800,
2026-05-14T11:02:52.622,233.291,24.976600,
2026-05-14T11:02:53.888,234.557,24.968800,
2026-05-14T11:02:55.146,235.815,24.953100,
2026-05-14T11:02:56.411,237.080,24.960900,
2026-05-14T11:02:57.670,238.339,24.960900,
2026-05-14T11:02:58.931,239.599,24.968800,
2026-05-14T11:03:00.193,240.861,24.968800,
2026-05-14T11:03:01.453,242.121,24.968800,
2026-05-14T11:03:02.713,243.382,24.976600,
2026-05-14T11:03:03.979,244.647,24.976600,
2026-05-14T11:03:05.248,245.916,24.976600,
2026-05-14T11:03:06.508,247.178,24.976600,
2026-05-14T11:03:07.772,248.441,24.976600,
2026-05-14T11:03:09.034,249.704,24.976600,
2026-05-14T11:03:10.299,250.968,24.976600,
2026-05-14T11:03:11.557,252.226,24.968800,
2026-05-14T11:03:12.823,253.490,24.968800,
2026-05-14T11:03:14.090,254.758,24.968800,
2026-05-14T11:03:15.361,256.030,24.968800,
2026-05-14T11:03:16.635,257.302,24.968800,
2026-05-14T11:03:17.897,258.566,24.984400,
2026-05-14T11:03:19.168,259.837,24.976600,
2026-05-14T11:03:20.428,261.098,24.976600,
2026-05-14T11:03:21.699,262.369,24.976600,
2026-05-14T11:03:22.972,263.639,24.976600,
2026-05-14T11:03:24.234,264.903,24.984400,
2026-05-14T11:03:25.507,266.175,24.984400,
2026-05-14T11:03:26.775,267.444,24.992200,
2026-05-14T11:03:28.043,268.712,24.992200,
2026-05-14T11:03:29.303,269.972,24.992200,
2026-05-14T11:03:30.574,271.242,24.992200,
2026-05-14T11:03:31.836,272.505,24.992200,
2026-05-14T11:03:33.096,273.764,24.992200,
2026-05-14T11:03:34.369,275.038,25.000000,
2026-05-14T11:03:35.645,276.312,24.992200,
2026-05-14T11:03:36.918,277.586,25.000000,
2026-05-14T11:03:38.186,278.854,25.007800,
2026-05-14T11:03:39.448,280.116,25.000000,
2026-05-14T11:03:40.716,281.384,25.007800,
2026-05-14T11:03:41.987,282.656,25.007800,
2026-05-14T11:03:43.257,283.921,25.015600,
2026-05-14T11:03:44.520,285.190,25.015600,
2026-05-14T11:03:45.781,286.450,25.015600,
2026-05-14T11:03:47.042,287.709,25.023400,
2026-05-14T11:03:48.306,288.975,25.015600,
2026-05-14T11:03:49.571,290.239,25.023400,
2026-05-14T11:03:50.845,291.513,25.015600,
2026-05-14T11:03:52.115,292.785,25.015600,
2026-05-14T11:03:53.383,294.050,25.015600,
2026-05-14T11:03:54.645,295.313,25.023400,
2026-05-14T11:03:55.915,296.583,25.015600,
2026-05-14T11:03:57.183,297.851,25.015600,
2026-05-14T11:03:58.454,299.121,25.015600,
2026-05-14T11:03:59.716,300.384,25.015600,
2026-05-14T11:04:00.974,301.643,25.000000,
2026-05-14T11:04:02.234,302.902,24.992200,
2026-05-14T11:04:03.492,304.161,24.992200,
2026-05-14T11:04:04.760,305.428,24.992200,
2026-05-14T11:04:06.018,306.687,25.000000,
2026-05-14T11:04:07.282,307.951,25.000000,
2026-05-14T11:04:08.555,309.223,25.000000,
2026-05-14T11:04:09.816,310.485,25.000000,
2026-05-14T11:04:11.077,311.746,25.000000,
2026-05-14T11:04:12.344,313.014,25.007800,
2026-05-14T11:04:13.606,314.273,25.007800,
2026-05-14T11:04:14.873,315.541,25.007800,
2026-05-14T11:04:16.137,316.805,25.007800,
2026-05-14T11:04:17.400,318.068,25.015600,
2026-05-14T11:04:18.666,319.334,25.000000,
2026-05-14T11:04:19.926,320.595,24.992200,
2026-05-14T11:04:21.186,321.856,25.000000,
2026-05-14T11:04:22.457,323.125,25.000000,
2026-05-14T11:04:23.728,324.398,25.000000,
2026-05-14T11:04:24.992,325.661,25.000000,
2026-05-14T11:04:26.266,326.933,25.000000,
2026-05-14T11:04:27.535,328.203,25.000000,
2026-05-14T11:04:28.797,329.467,25.000000,
2026-05-14T11:04:30.069,330.738,25.007800,
2026-05-14T11:04:31.333,332.001,25.007800,
2026-05-14T11:04:32.604,333.272,25.007800,
2026-05-14T11:04:33.868,334.535,25.007800,
2026-05-14T11:04:35.135,335.804,25.015600,
2026-05-14T11:04:36.400,337.069,25.015600,
2026-05-14T11:04:37.667,338.336,25.015600,
2026-05-14T11:04:38.927,339.595,25.015600,
2026-05-14T11:04:40.191,340.859,25.007800,
2026-05-14T11:04:41.463,342.131,25.023400,
2026-05-14T11:04:42.736,343.404,25.015600,
2026-05-14T11:04:44.007,344.677,25.023400,
2026-05-14T11:04:45.268,345.937,25.023400,
2026-05-14T11:04:46.535,347.203,25.023400,
2026-05-14T11:04:47.804,348.474,25.023400,
